Message,Prediction
"my parents, my kidz, my friends n my colleagues. all screaming.. surprise !! and i was waiting on the sofa.. ... ..... ' naked...!",Not Spam
"velly good, yes please!",Not Spam
god's love has no limit. god's grace has no measure. god's power has no boundaries. may u have god's endless blessings always in ur life...!! gud ni8,Not Spam
hi. customer loyalty offer:the new nokia6650 mobile from only å£10 at txtauction! txt word: start to no: 81151 & get yours now! 4t&ctxt tc 150p/mtmsg,Spam
have you bookedthe hut? and also your time off? how are you by the way?,Not Spam
i'm working technical support :)voice process.,Not Spam
ya but it cant display internal subs so i gotta extract them,Not Spam
winner! as a valued network customer you hvae been selected to receive a å£900 reward! to collect call 09061701444. valid 24 hours only. acl03530150pm,Spam
"auction round 4. the highest bid is now å£54. next maximum bid is å£71. to bid, send bids e. g. 10 (to bid å£10) to 83383. good luck.",Not Spam
great princess! i love giving and receiving oral. doggy style is my fave position. how about you? i enjoy making love  &lt;#&gt;  times per night :),Not Spam
can u get 2 phone now? i wanna chat 2 set up meet call me now on 09096102316 u can cum here 2moro luv jane xx callså£1/minmoremobsemspobox45po139wa,Not Spam
"great. i'm in church now, will holla when i get out",Not Spam
"k so am i, how much for an 8th? fifty?",Not Spam
"found it, enc  &lt;#&gt; , where you at?",Not Spam
anytime lor...,Not Spam
tmrw. im finishing 9 doors,Not Spam
haiyoh... maybe your hamster was jealous of million,Not Spam
gud ni8 dear..slp well..take care..swt dreams..muah..,Not Spam
"guy, no flash me now. if you go call me, call me. how madam. take care oh.",Not Spam
we left already we at orchard now.,Not Spam
whatsup there. dont u want to sleep,Not Spam
so what do you guys do.,Not Spam
yes watching footie but worried we're going to blow it - phil neville?,Not Spam
this is my number by vivek..,Not Spam
no b4 thursday,Not Spam
"i av a new number,  . wil u only use this one,ta.",Not Spam
i'm e person who's doing e sms survey...,Not Spam
you are a winner u have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,Spam
"house-maid is the murderer, coz the man was murdered on  &lt;#&gt; th january.. as public holiday all govt.instituitions are closed,including post office..understand?",Not Spam
den wat will e schedule b lk on sun?,Not Spam
she.s fine. i have had difficulties with her phone. it works with mine. can you pls send her another friend request.,Not Spam
"babe, i'm answering you, can't you see me ? maybe you'd better reboot ym ... i got the photo ... it's great !",Not Spam
r u in this continent?,Not Spam
the world's most happiest frnds never have the same characters... dey just have the best understanding of their differences...,Not Spam
ok can...,Not Spam
hey morning what you come to ask:-) pa...,Not Spam
"sorry, i can't text &amp; drive coherently, see you in twenty",Not Spam
hello! how r u? im bored. inever thought id get bored with the tv but i am. tell me something exciting has happened there? anything! =/,Not Spam
"our dating service has been asked 2 contact u by someone shy! call 09058091870 now all will be revealed. pobox84, m26 3uz 150p",Spam
nothing but we jus tot u would ask cos u ba gua... but we went mt faber yest... yest jus went out already mah so today not going out... jus call lor...,Not Spam
nt yet chikku..simple habba..hw abt u?,Not Spam
"urgent! your mobile no was awarded a å£2,000 bonus caller prize on 1/08/03! this is our 2nd attempt to contact you! call 0871-4719-523 box95qu bt national rate",Spam
"wn u r hurt by d prsn who s close 2 u, do fight wit dem. coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. gud eveb-)",Not Spam
are you this much buzy,Not Spam
i will spoil you in bed as well :),Not Spam
i re-met alex nichols from middle school and it turns out he's dealing!,Not Spam
"can meh? thgt some will clash... really ah, i dun mind... i dun seen to have lost any weight... gee...",Not Spam
ard 515 like dat. y?,Not Spam
dont hesitate. you know this is the second time she has had weakness like that. so keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,Not Spam
u have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09065171142-stopsms-08,Not Spam
"edison has rightly said, \a fool can ask more questions than a wise man can answer\"" now you know why all of us are speechless during viva.. gm",Not Spam
how many licks does it take to get to the center of a tootsie pop?,Not Spam
"hello, my love. what are you doing? did you get to that interview today? are you you happy? are you being a good boy? do you think of me?are you missing me ?",Not Spam
"as a valued customer, i am pleased to advise you that following recent review of your mob no. you are awarded with a å£1500 bonus prize, call 09066364589",Spam
how's it going? got any exciting karaoke type activities planned? i'm debating whether to play football this eve. feeling lazy though.,Not Spam
too late. i said i have the website. i didn't i have or dont have the slippers,Not Spam
yetunde i'm in class can you not run water on it to make it ok. pls now.,Not Spam
here is your discount code rp176781. to stop further messages reply stop. www.regalportfolio.co.uk. customer services 08717205546,Spam
nothing just getting msgs by dis name wit different no's..,Not Spam
stupid.its not possible,Not Spam
aathi..where are you dear..,Not Spam
email alertfrom: jeri stewartsize: 2kbsubject: low-cost prescripiton drvgsto listen to email call 123,Not Spam
"it's wylie, you in tampa or sarasota?",Not Spam
"tunji, how's the queen? how are you doing. this is just wishing you a great day. abiola.",Not Spam
otherwise had part time job na-tuition..,Not Spam
"do you know why god created gap between your fingers..? so that, one who is made for you comes &amp; fills those gaps by holding your hand with love..!",Not Spam
dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,Not Spam
no chikku nt yet.. ya i'm free,Not Spam
i'm going out to buy mum's present ar.,Not Spam
have a nice day my dear.,Not Spam
private! your 2003 account statement for shows 800 un-redeemed s.i.m. points. call 08715203685 identifier code:4xx26 expires 13/10/04,Spam
pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,Not Spam
what you did in  leave.,Not Spam
ìï log off 4 wat. it's sdryb8i,Not Spam
not tonight mate. catching up on some sleep. this is my new number by the way. ,Not Spam
* will be september by then!,Not Spam
"call 09094100151 to use ur mins! calls cast 10p/min (mob vary). service provided by aom, just gbp5/month. aom box61,m60 1er until u stop. ages 18+ only!",Spam
long beach lor. expected... u having dinner now?,Not Spam
"well done! your 4* costa del sol holiday or å£5000 await collection. call 09050090044 now toclaim. sae, tcs, pobox334, stockport, sk38xh, costå£1.50/pm, max10mins",Spam
yup i thk cine is better cos no need 2 go down 2 plaza mah.,Not Spam
"good afternoon, my boytoy ... how are you feeling today ? better i hope? are you being my good boy? are you my obedient, slave? do you please your queen?",Not Spam
you're not sure that i'm not trying to make xavier smoke because i don't want to smoke after being told i smoke too much?,Not Spam
i sent them. do you like?,Not Spam
lol or i could just starve and lose a pound by the end of the day.,Not Spam
i wont get concentration dear you know you are my mind and everything :-),Not Spam
"\hey das cool... iknow all 2 wellda peril of studentfinancial crisis!spk 2 u l8r.\""""",Not Spam
oh did you charge camera,Not Spam
short but cute: \be a good person,Not Spam
s:)s.nervous  &lt;#&gt; :),Not Spam
"frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... \ i will be with you \"" wherevr.. whenevr.. forevr... gudnyt dear..""",Not Spam
what's happening with you. have you gotten a job and have you begun registration for permanent residency,Not Spam
"urgent!! your 4* costa del sol holiday or å£5000 await collection. call 09050090044 now toclaim. sae, tc s, pobox334, stockport, sk38xh, costå£1.50/pm, max10mins",Spam
"fuck babe, i miss you sooooo much !! i wish you were here to sleep with me ... my bed is so lonely ... i go now, to sleep ... to dream of you, my love ...",Not Spam
oh. u must have taken your real valentine out shopping first.,Not Spam
"i'm tired of arguing with you about this week after week. do what you want and from now on, i'll do the same.",Not Spam
tmr then ì_ brin lar... aiya later i come n c lar... mayb ì_ neva set properly ì_ got da help sheet wif ì_...,Not Spam
it just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,Not Spam
thanks for yesterday sir. you have been wonderful. hope you enjoyed the burial. mojibiola,Not Spam
jesus armand really is trying to tell everybody he can find,Not Spam
"haha good to hear, i'm officially paid and on the market for an 8th",Not Spam
no one interested. may be some business plan.,Not Spam
i am going to film 2day da. at 6pm. sorry da.,Not Spam
cheers for the card ... is it that time of year already?,Not Spam
"i know dat feelin had it with pete! wuld get with em , nuther place nuther time mayb?",Not Spam
come by our room at some point so we can iron out the plan for this weekend,Not Spam
"congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc all 4 free! bx420-ip4-5we. 150pm. dont miss out!",Spam
did you see that film:),Not Spam
alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,Not Spam
have you seen who's back at holby?!,Not Spam
not..tel software name..,Not Spam
"how long has it been since you screamed, princess?",Not Spam
"k, can that happen tonight?",Not Spam
yeah whatever lol,Not Spam
"u can win å£100 of music gift vouchers every week starting now txt the word draw to 87066 tscs www.idew.com skillgame, 1winaweek, age16. 150ppermesssubscription",Spam
can... i'm free...,Not Spam
"fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",Not Spam
where is it. is there any opening for mca.,Not Spam
do you want a new nokia 3510i colour phone delivered tomorrow? with 200 free minutes to any mobile + 100 free text + free camcorder reply or call 08000930705,Spam
ok. she'll be ok. i guess,Not Spam
will do. have a good day,Not Spam
"v-aluable. a-ffectionate. l-oveable. e-ternal. n-oble. t-ruthful. i-ntimate. n-atural. e-namous. happy \valentines day\"" in advance""",Not Spam
this pen thing is beyond a joke. wont a biro do? don't do a masters as can't do this ever again! ,Not Spam
i dont thnk its a wrong calling between us,Not Spam
take something for pain. if it moves however to any side in the next 6hrs see a doctor.,Not Spam
dunno cos i was v late n when i reach they inside already... but we ate spageddies lor... it's e gals who r laughing at me lor...,Not Spam
how dare you stupid. i wont tell anything to you. hear after i wont talk to you:-.,Not Spam
"wen ur lovable bcums angry wid u, dnt take it seriously.. coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... have nice day da.",Not Spam
i think that tantrum's finished so yeah i'll be by at some point,Not Spam
"sorry, i'll call later",Not Spam
have you heard from this week?,Not Spam
"sorry, went to bed early, nightnight",Not Spam
hey company elama po mudyadhu.,Not Spam
"i'll see if i can swing by in a bit, got some things to take care of here firsg",Not Spam
oops my phone died and i didn't even know. yeah i like it better.,Not Spam
do you want bold 2 or bb torch,Not Spam
"hello darling how are you today? i would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",Not Spam
take care n get well soon,Not Spam
but i'm on a diet. and i ate 1 too many slices of pizza yesterday. ugh i'm always on a diet.,Not Spam
"nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",Not Spam
"you are sweet as well, princess. please tell me your likes and dislikes in bed...",Not Spam
where to get those?,Not Spam
camera - you are awarded a sipix digital camera! call 09061221066 fromm landline. delivery within 28 days,Spam
oops. 4 got that bit.,Not Spam
"same, i'm at my great aunts anniversary party in tarpon springs",Not Spam
"fantasy football is back on your tv. go to sky gamestar on sky active and play å£250k dream team. scoring starts on saturday, so register now!sky opt out to 88088",Not Spam
dare i ask... any luck with sorting out the car?,Not Spam
"god picked up a flower and dippeditinadew, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,this friend is 4u",Not Spam
"your account has been credited with 500 free text messages. to activate, just txt the word: credit to no: 80488 t&cs www.80488.biz",Spam
o. well uv causes mutations. sunscreen is like essential thesedays,Not Spam
ryder unsold.now gibbs.,Not Spam
just wait till end of march when el nino gets himself. oh.,Not Spam
oh k. . i will come tomorrow,Not Spam
private! your 2003 account statement for shows 800 un-redeemed s.i.m. points. call 08718738001 identifier code: 49557 expires 26/11/04,Spam
"no, but you told me you were going, before you got drunk!",Not Spam
its a valentine game. . . send dis msg to all ur friends. .. if 5 answers r d same then someone really loves u. ques- which colour suits me the best?rply me,Not Spam
"i can't, i don't have her number!",Not Spam
"oh... i was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... okie lor, u call me when ready...",Not Spam
no. on the way home. so if not for the long dry spell the season would have been over,Not Spam
i.ll give her once i have it. plus she said grinule greet you whenever we speak,Not Spam
"i don't think i can get away for a trek that long with family in town, sorry",Not Spam
yes we are chatting too.,Not Spam
also where's the piece,Not Spam
tell them the drug dealer's getting impatient,Not Spam
yes:)here tv is always available in work place..,Not Spam
 &lt;#&gt;  mins but i had to stop somewhere first.,Not Spam
no it's waiting in e car dat's bored wat. cos wait outside got nothing 2 do. at home can do my stuff or watch tv wat.,Not Spam
our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).,Not Spam
eatin my lunch...,Not Spam
"thanks for your ringtone order, reference number x49.your mobile will be charged 4.50. should your tone not arrive please call customer services 09065989182",Spam
1's reach home call me.,Not Spam
you've already got a flaky parent. it'snot supposed to be the child's job to support the parent...not until they're the ride age anyway. i'm supposed to be there to support you. and now i've hurt you. unintentional. but hurt nonetheless.,Not Spam
"lookatme!: thanks for your purchase of a video clip from lookatme!, you've been charged 35p. think you can do better? why not send a video in a mmsto 32323.",Not Spam
"aight, i'll hit you up when i get some cash",Not Spam
don no da:)whats you plan?,Not Spam
going to take your babe out ?,Not Spam
no need lar. jus testing e phone card. dunno network not gd i thk. me waiting 4 my sis 2 finish bathing so i can bathe. dun disturb u liao u cleaning ur room.,Not Spam
"probably, want to pick up more?",Not Spam
"last chance! claim ur å£150 worth of discount vouchers today! text shop to 85023 now! savamob, offers mobile! t cs savamob pobox84, m263uz. å£3.00 sub. 16",Spam
k sure am in my relatives home. sms me de. pls:-),Not Spam
"the lay man! just to let you know you are missed and thought off. do have a great day. and if you can send me bimbo and ugo's numbers, ill appreciate. safe",Not Spam
"when you get free, call me",Not Spam
"good afternoon, my love ! any job prospects ? are you missing me ? what do you do ? are you being lazy and bleak, hmmm ? or happy and filled with my love ?",Not Spam
"do 1 thing! change that sentence into: \because i want 2 concentrate in my educational career im leaving here..\""""",Not Spam
hmm yeah if your not too grooved out! and im looking forward to my pound special :),Not Spam
i thk 50 shd be ok he said plus minus 10.. did ì_ leave a line in between paragraphs?,Not Spam
ladies first and genus second k .,Not Spam
alright i have a new goal now,Not Spam
ok no prob... i'll come after lunch then...,Not Spam
i want to sent  &lt;#&gt; mesages today. thats y. sorry if i hurts,Not Spam
not directly behind... abt 4 rows behind ì_...,Not Spam
"k, can i pick up another 8th when you're done?",Not Spam
"a boy loved a gal. he propsd bt she didnt mind. he gv lv lttrs, bt her frnds threw thm. again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. wn it was about 2 hit d girl,d boy ran like hell n saved her. she asked 'hw cn u run so fast?' d boy replied \boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n thy lived happily 2gthr drinking boost evrydy moral of d story:- i hv free msgs:d;): gud ni8""",Not Spam
hi! you just spoke to maneesha v. we'd like to know if you were satisfied with the experience. reply toll free with yes or no.,Not Spam
private! your 2004 account statement for 078498****7 shows 786 unredeemed bonus points. to claim call 08719180219 identifier code: 45239 expires 06.05.05,Spam
are you planning to come chennai?,Not Spam
huh y lei...,Not Spam
"k, fyi i'm back in my parents' place in south tampa so i might need to do the deal somewhere else",Not Spam
"449050000301 you have won a å£2,000 price! to claim, call 09050000301.",Spam
id have to check but there's only like 1 bowls worth left,Not Spam
lovely smell on this bus and it ain't tobacco... ,Not Spam
urgent! your mobile number has been awarded a <ukp>2000 prize guaranteed. call 09061790125 from landline. claim 3030. valid 12hrs only 150ppm,Spam
some of them told accenture is not confirm. is it true.,Not Spam
"the world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",Not Spam
ok enjoy . r u there in home.,Not Spam
why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,Not Spam
yeah confirmed for you staying at  that weekend,Not Spam
i am late. i will be there at,Not Spam
"nothing. i meant that once the money enters your account here, the bank will remove its flat rate. someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. so the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",Not Spam
depends on individual lor e hair dresser say pretty but my parents say look gong. u kaypoh.. i also dunno wat she collecting.,Not Spam
great. p diddy is my neighbor and comes for toothpaste every morning,Not Spam
**free message**thanks for using the auction subscription service. 18 . 150p/msgrcvd 2 skip an auction txt out. 2 unsubscribe txt stop customercare 08718726270,Spam
ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! but you can call me there.xx,Not Spam
want 2 get laid tonight? want real dogging locations sent direct 2 ur mob? join the uk's largest dogging network by txting moan to 69888nyt. ec2a. 31p.msg@150p,Spam
"please protect yourself from e-threats. sib never asks for sensitive information like passwords,atm/sms pin thru email. never share your password with anybody.",Not Spam
"the last thing i ever wanted to do was hurt you. and i didn't think it would have. you'd laugh, be embarassed, delete the tag and keep going. but as far as i knew, it wasn't even up. the fact that you even felt like i would do it to hurt you shows you really don't know me at all. it was messy wednesday, but it wasn't bad. the problem i have with it is you have the time to clean it, but you choose not to. you skype, you take pictures, you sleep, you want to go out. i don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. you used to be good about at least making the bed.",Not Spam
me sef dey laugh you. meanwhile how's my darling anjie!,Not Spam
he also knows about lunch menu only da. . i know,Not Spam
hope this text meets you smiling. if not then let this text give you a reason to smile. have a beautiful day.,Not Spam
"awesome, how do i deal with the gate? charles told me last night but, uh, yeah",Not Spam
hmv bonus special 500 pounds of genuine hmv vouchers to be won. just answer 4 easy questions. play now! send hmv to 86688 more info:www.100percent-real.com,Spam
taka lor. wat time u wan 2 come n look 4 us?,Not Spam
cool. so how come you havent been wined and dined before?,Not Spam
please call amanda with regard to renewing or upgrading your current t-mobile handset free of charge. offer ends today. tel 0845 021 3680 subject to t's and c's,Not Spam
is there a reason we've not spoken this year? anyways have a great week and all the best in your exam,Not Spam
lul im gettin some juicy gossip at the hospital. two nurses are talking about how fat they are gettin. and one thinks shes obese. oyea.,Not Spam
oh... lk tt den we take e one tt ends at cine lor... dun wan yogasana oso can... ,Not Spam
good morning plz call me sir,Not Spam
ìï all write or wat..,Not Spam
"hi. hope ur day * good! back from walk, table booked for half eight. let me know when ur coming over.",Not Spam
"free message activate your 500 free text messages by replying to this message with the word free for terms & conditions, visit www.07781482378.com",Spam
yes. they replied my mail. i'm going to the management office later. plus will in to bank later also.or on wednesday.,Not Spam
ok..,Not Spam
"mila, age23, blonde, new in uk. i look sex with uk guys. if u like fun with me. text mtalk to 69866.18 . 30pp/txt 1st 5free. å£1.50 increments. help08718728876",Spam
i didn't get the second half of that message,Not Spam
i've reached sch already...,Not Spam
"i'm back, lemme know when you're ready",Not Spam
no messages on her phone. i'm holding it now,Not Spam
sorry . i will be able to get to you. see you in the morning.,Not Spam
all will come alive.better correct any good looking figure there itself..,Not Spam
this message is free. welcome to the new & improved sex & dogging club! to unsubscribe from this service reply stop. msgs@150p 18+only,Spam
you said not now. no problem. when you can. let me know.,Not Spam
as usual u can call me ard 10 smth.,Not Spam
in other news after hassling me to get him weed for a week andres has no money. haughaighgtujhyguj,Not Spam
good morning my dear shijutta........... have a great &amp; successful day.,Not Spam
its a great day. do have yourself a beautiful one.,Not Spam
yes.he have good crickiting mind,Not Spam
û_ and donû÷t worry weû÷ll have finished by march û_ ish!,Not Spam
your opinion about me? 1. over 2. jada 3. kusruthi 4. lovable 5. silent 6. spl character 7. not matured 8. stylish 9. simple pls reply..,Not Spam
you only hate me. you can call any but you didnt accept even a single call of mine. or even you messaged,Not Spam
"twinks, bears, scallies, skins and jocks are calling now. don't miss the weekend's fun. call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)",Not Spam
good night my dear.. sleepwell&amp;take care,Not Spam
as a registered optin subscriber ur draw 4 å£100 gift voucher will be entered on receipt of a correct ans to 80062 whats no1 in the bbc charts,Spam
hi. happy new year. i dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. thanks,Not Spam
warner village 83118 c colin farrell in swat this wkend @warner village & get 1 free med. popcorn!just show msg+ticket@kiosk.valid 4-7/12. c t&c @kiosk. reply sony 4 mre film offers,Not Spam
lil fever:) now fine:),Not Spam
yes we were outside for like 2 hours. and i called my whole family to wake them up cause it started at 1 am,Not Spam
are we doing the norm tomorrow? i finish just a 4.15 cos of st tests. need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,Not Spam
645,Not Spam
"okay, good, no problem, and thanx!",Not Spam
nobody can decide where to eat and dad wants chinese,Not Spam
gam gone after outstanding innings.,Not Spam
hey... are you going to quit soon? xuhui and i working till end of the month ,Not Spam
i might go 2 sch. yar at e salon now v boring.,Not Spam
i dont have that much image in class.,Not Spam
ur awarded a city break and could win a å£200 summer shopping spree every wk. txt store to 88039 . skilgme. tscs087147403231winawk!age16 å£1.50perwksub,Spam
thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,Not Spam
love you aathi..love u lot..,Not Spam
where's mummy's boy ? is he being good or bad ? is he being positive or negative ? why is mummy being made to wait? hmmmm?,Not Spam
your 2004 account for 07xxxxxxxxx shows 786 unredeemed points. to claim call 08719181259 identifier code: xxxxx expires 26.03.05,Spam
"life is more strict than teacher... bcoz teacher teaches lesson &amp; then conducts exam, but life first conducts exam &amp; then teaches lessons. happy morning. . .",Not Spam
don know..he is watching film in computer..,Not Spam
"this is the 2nd time we have tried 2 contact u. u have won the 750 pound prize. 2 claim is easy, call 08712101358 now! only 10p per min. bt-national-rate",Spam
if i not meeting ì_ all rite then i'll go home lor. if ì_ dun feel like comin it's ok.,Not Spam
give one miss from that number please,Not Spam
"sorry to trouble u again. can buy 4d for my dad again? 1405, 1680, 1843. all 2 big 1 small, sat n sun. thanx.",Not Spam
eh u remember how 2 spell his name... yes i did. he v naughty make until i v wet.,Not Spam
gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send stop to 89070,Spam
dont think you need yellow card for uk travel. ask someone that has gone before. if you do its just  &lt;#&gt; bucks,Not Spam
rgent! this is the 2nd attempt to contact u!u have won å£1250 call 09071512433 b4 050703 t&csbcm4235wc1n3xx. callcost 150ppm mobilesvary. maxå£7. 50,Spam
"sorry, i'll call later",Not Spam
height of confidence: all the aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. aftr they sat they wer told dat the plane ws made by their students. dey all hurried out of d plane.. bt only 1 didnt move... he said:\if it is made by my students,Not Spam
i see the letter b on my car,Not Spam
hi its lucy hubby at meetins all day fri & i will b alone at hotel u fancy cumin over? pls leave msg 2day 09099726395 lucy x callså£1/minmobsmorelkpobox177hp51fl,Not Spam
"tunde, how are you doing. this is just wishing you a great day. abiola.",Not Spam
then ur physics get a-?,Not Spam
s...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),Not Spam
somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,Not Spam
also that chat was awesome but don't make it regular unless you can see her in person,Not Spam
mum not going robinson already.,Not Spam
"aight that'll work, thanks",Not Spam
"that day ì_ say ì_ cut ur hair at paragon, is it called hair sense? do ì_ noe how much is a hair cut? ",Not Spam
he neva grumble but i sad lor... hee... buy tmr lor aft lunch. but we still meetin 4 lunch tmr a not. neva hear fr them lei. ìï got a lot of work ar?,Not Spam
(you didn't hear it from me),Not Spam
sac needs to carry on:),Not Spam
wow v v impressed. have funs shopping!,Not Spam
"i think your mentor is , but not 100 percent sure.",Not Spam
"goodmorning, today i am late for 2hrs. because of back pain.",Not Spam
only once then after ill obey all yours.,Not Spam
really do hope the work doesnt get stressful. have a gr8 day.,Not Spam
i'm really not up to it still tonight babe,Not Spam
oh yeah clearly it's my fault,Not Spam
nothing will ever be easy. but don't be looking for a reason not to take a risk on life and love,Not Spam
"congrats! 2 mobile 3g videophones r yours. call 09061744553 now! videochat wid ur mates, play java games, dload polyh music, noline rentl. bx420. ip4. 5we. 150pm",Spam
ard 4 lor...,Not Spam
ever thought about living a good life with a perfect partner? just txt back name and age to join the mobile community. (100p/sms),Not Spam
i'm fine. hope you are good. do take care.,Not Spam
hey they r not watching movie tonight so i'll prob b home early...,Not Spam
"cool, want me to go to kappa or should i meet you outside mu",Not Spam
yes see ya not on the dot,Not Spam
yup ok...,Not Spam
i absolutely love south park! i only recently started watching the office.,Not Spam
no she didnt. i will search online and let you know.,Not Spam
ìï called dad oredi...,Not Spam
oh ho. is this the first time u use these type of words,Not Spam
no. she's currently in scotland for that.,Not Spam
happy birthday to you....dear.with lots of love.rakhesh nri,Not Spam
am going to take bath ill place the key in window:-),Not Spam
if we win its really no 1 side for long time.,Not Spam
leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.rakhesh,Not Spam
hello- thanx for taking that call. i got a job! starts on monday!,Not Spam
\hi babe uawake?feellikw shit.justfound out via aletter thatmum gotmarried 4thnov.behind ourbacks åð fuckinnice!selfish,Not Spam
dai what this da.. can i send my resume to this id.,Not Spam
if you're thinking of lifting me one then no.,Not Spam
ok... sweet dreams...,Not Spam
do you want 750 anytime any network mins 150 text and a new video phone for only five pounds per week call 08000776320 now or reply for delivery tomorrow,Spam
u still havent got urself a jacket ah?,Not Spam
hows the pain dear?y r u smiling?,Not Spam
happy new year my no.1 man,Not Spam
you best watch what you say cause i get drunk as a motherfucker,Not Spam
k. i will sent it again,Not Spam
boooo you always work. just quit.,Not Spam
ok....take care.umma to you too...,Not Spam
die... i accidentally deleted e msg i suppose 2 put in e sim archive. haiz... i so sad...,Not Spam
we can go 4 e normal pilates after our intro...  ,Not Spam
i think u have the wrong number.,Not Spam
okay name ur price as long as its legal! wen can i pick them up? y u ave x ams xx,Not Spam
i had askd u a question some hours before. its answer,Not Spam
i'd like to tell you my deepest darkest fantasies. call me 09094646631 just 60p/min. to stop texts call 08712460324 (nat rate),Not Spam
we r outside already.,Not Spam
"he is impossible to argue with and he always treats me like his sub, like he never released me ... which he did and i will remind him of that if necessary",Not Spam
why are u up so early?,Not Spam
wow! the boys r back. take that 2007 uk tour. win vip tickets & pre-book with vip club. txt club to 81303. trackmarque ltd info@vipclub4u.,Spam
aight do you still want to get money,Not Spam
"sorry, i'll call you  later. i am in meeting sir.",Not Spam
a å£400 xmas reward is waiting for you! our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. just call 09066380611,Spam
ok which your another number,Not Spam
very hurting n meaningful lines ever: \i compromised everything for my love,Not Spam
when u love someone dont make them to love u as much as u do. but love them so much that they dont want to be loved by anyone except you... gud nit.,Not Spam
dont worry. i guess he's busy.,Not Spam
hi good mornin.. thanku wish u d same..,Not Spam
"good afternoon, babe. how goes that day ? any job prospects yet ? i miss you, my love ... *sighs* ... :-(",Not Spam
"alright we'll bring it to you, see you in like  &lt;#&gt;  mins",Not Spam
that is wondarfull song,Not Spam
one of best dialogue in cute reltnship..!! \wen i die,Not Spam
thanks for being there for me just to talk to on saturday. you are very dear to me. i cherish having you as a brother and role model.,Not Spam
i dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,Not Spam
"1000's flirting now! txt girl or bloke & ur name & age, eg girl zoe 18 to 8007 to join and get chatting!",Spam
you give us back my id proof and  &lt;#&gt;  rs. we wont allow you to work. we will come to your home within days,Not Spam
from 5 to 2 only my work timing.,Not Spam
you've always been the brainy one.,Not Spam
thanks for ve lovely wisheds. you rock,Not Spam
when you guys planning on coming over?,Not Spam
"jay wants to work out first, how's 4 sound?",Not Spam
bull. your plan was to go floating off to ikea with me without a care in the world. so i have to live with your mess another day.,Not Spam
"sorry, i'll call later in meeting",Not Spam
then we wait 4 u lor... no need 2 feel bad lar...,Not Spam
not heard from u4 a while. call 4 rude chat private line 01223585334 to cum. wan 2c pics of me gettin shagged then text pix to 8552. 2end send stop 8552 sam xxx,Not Spam
k go and sleep well. take rest:-).,Not Spam
"yup, leaving right now, be back soon",Not Spam
oi. ami parchi na re. kicchu kaaj korte iccha korche na. phone ta tul na. plz. plz.,Not Spam
can. dunno wat to get 4 her...,Not Spam
oh k:)after that placement there ah?,Not Spam
"themob> check out our newest selection of content, games, tones, gossip, babes and sport, keep your mobile fit and funky text wap to 82468",Spam
